,codigo_trecho,vl_km_inic,vl_km_fina,vl_extensa,VMDa_C,VMDa_D,ds_sup_fed,GEH,acidentes_sem_vitima,acidentes_com_vitima,acidentes_com_mortos,acidentes_totais,UPS_medio,UPS_max,UPS_min,VDM,ICA_medio,ICA_max,ICA_min,tipo_pista,tipo_area,tipo_terreno
0,010BMA0370,34.0,128.8,94.8,611.0,658.0,PAV,A,1.0,5.0,2.0,8.0,10.4,16.0,5.0,2726.0,6.2334,8.035,5.111,Simples,Rural,Plano
1,010BMA0390,128.8,156.4,27.6,2654.0,2472.0,PAV,,1.0,9.0,1.0,11.0,7.375,15.0,1.0,4669.0,5.726,8.035,4.938,Simples,Rural,Ondulado
2,010BMA0400,156.4,176.8,20.4,1960.0,1959.0,PAV,,2.0,6.0,1.0,9.0,7.5,13.0,1.0,3892.0,5.540666666666667,8.035,4.938,Simples,Rural,Ondulado
3,010BMA0410,176.8,203.5,26.7,2036.0,2032.0,PAV,,1.0,6.0,2.0,9.0,9.5,19.0,5.0,4042.0,5.530166666666666,7.799,4.938,Simples,Rural,Plano
4,010BMA0420,203.5,223.1,19.6,1809.0,1817.0,PAV,,0.0,4.0,2.0,6.0,9.2,13.0,5.0,3601.0,5.007199999999999,5.111,4.938,Simples,Rural,Ondulado
5,010BMA0430,246.4,253.6,7.2,2298.0,2340.0,PAV,,10.0,45.0,10.0,65.0,20.27777777777778,55.0,5.0,4934.0,6.481222222222223,8.035,5.111,Simples,Rural,Plano
6,010BMA0450,260.8,295.2,34.4,2701.0,2785.0,PAV,A,10.0,68.0,2.0,80.0,15.666666666666666,64.0,1.0,8396.0,5.613875,7.799,4.938,Simples,Rural,Ondulado
7,010BMA0460,295.2,319.8,24.6,2430.0,2323.0,PAV,,2.0,9.0,4.0,15.0,9.0,15.0,1.0,5555.0,5.0908181818181815,5.346,4.938,Simples,Rural,Plano
8,010BMA0470,319.8,378.7,58.9,1772.0,1708.0,PAV,,2.0,11.0,2.0,15.0,6.916666666666667,18.0,1.0,3355.0,5.277333333333333,7.799,4.938,Simples,Rural,Plano
9,010BPA0490,0.0,18.0,18.0,1778.0,1718.0,PAV,,2.0,13.0,2.0,17.0,13.285714285714286,26.0,5.0,3291.0,5.896857142857143,8.035,4.938,Simples,Rural,Ondulado
10,010BPA0510,18.0,83.5,65.5,1461.0,1579.0,PAV,,1.0,7.0,7.0,15.0,9.071428571428571,18.0,1.0,2179.0,5.709285714285714,8.035,4.938,Simples,Rural,Ondulado
11,010BPA0530,83.5,165.8,82.3,1235.0,1201.0,PAV,A,2.0,13.0,3.0,18.0,5.888888888888889,13.0,1.0,2037.0,5.0952222222222225,5.346,4.938,Simples,Rural,Plano
12,010BPA0550,165.8,176.1,10.3,2507.0,2618.0,PAV,,0.0,2.0,0.0,2.0,5.0,5.0,5.0,2954.0,5.111,5.111,5.111,Simples,Rural,Plano
13,010BPA0570,176.1,272.0,95.9,2303.0,2478.0,PAV,A,3.0,13.0,8.0,24.0,8.19047619047619,18.0,1.0,2441.0,5.6071904761904765,8.035,4.938,Simples,Rural,Plano
14,010BPA0590,272.0,299.6,27.6,2228.0,2277.0,PAV,,1.0,7.0,2.0,10.0,6.888888888888889,26.0,1.0,2635.0,5.987777777777778,7.799,4.938,Simples,Rural,Plano
15,010BPA0610,299.6,307.4,7.8,2308.0,2414.0,PAV,,0.0,1.0,1.0,2.0,9.0,13.0,5.0,2932.0,5.1419999999999995,5.346,4.938,Simples,N/A,Montanhoso
16,010BPA0630,307.4,313.1,5.7,2556.0,2477.0,PAV,,0.0,1.0,0.0,1.0,5.0,5.0,5.0,3520.0,5.111,5.111,5.111,Simples,Rural,Plano
17,010BPA0650,313.1,321.7,8.6,2555.0,2478.0,PAV,,0.0,2.0,3.0,5.0,9.8,13.0,5.0,3520.0,5.111,5.111,5.111,Simples,Rural,Plano
18,010BPA0670,321.7,353.7,32.0,3145.0,2629.0,PAV,,0.0,12.0,7.0,19.0,10.785714285714286,26.0,5.0,4336.0,5.666785714285714,8.035,4.938,Simples,Rural,Plano
19,010BPA0690,353.7,355.0,1.3,3145.0,2629.0,PAV,,0.0,5.0,1.0,6.0,38.0,38.0,38.0,4336.0,7.799,7.799,7.799,Simples,Urbana,Plano
20,010BTO0225,219.1,241.4,22.3,618.0,501.0,PAV,,0.0,1.0,0.0,1.0,5.0,5.0,5.0,1047.0,4.938,4.938,4.938,Simples,Rural,Ondulado
21,010BTO0280,452.8,464.3,11.5,2540.0,3206.0,DUP,,3.0,0.0,0.0,3.0,1.5,2.0,1.0,4335.0,5.0245,5.111,4.938,Simples,Rural,Ondulado
22,020BBA0220,0.0,18.1,18.1,1425.0,1368.0,PAV,,0.0,3.0,3.0,6.0,13.5,18.0,10.0,2780.0,5.06775,5.111,4.938,Simples,Rural,Plano
23,020BBA0225,18.1,75.7,57.6,863.0,1102.0,PAV,,1.0,4.0,3.0,8.0,8.571428571428571,13.0,1.0,1679.142857142857,5.111,5.111,5.111,Simples,Rural,Plano
24,020BBA0230,75.7,129.9,54.2,1417.0,1467.0,PAV,A,2.0,6.0,1.0,9.0,5.625,14.0,1.0,1524.0,5.111,5.111,5.111,Simples,Rural,Plano
25,020BBA0235,129.9,135.9,6.0,1347.0,1393.0,PAV,,0.0,3.0,2.0,5.0,13.666666666666666,18.0,10.0,1352.0,5.189333333333333,5.346,5.111,Simples,Rural,Plano
26,020BBA0240,135.9,212.1,76.2,1347.0,1393.0,PAV,,3.0,10.0,5.0,18.0,7.866666666666666,18.0,1.0,1352.0,5.1151333333333335,5.346,4.938,Simples,Rural,Plano
27,020BCE0510,0.0,34.7,34.7,802.0,925.0,PAV,,0.0,2.0,0.0,2.0,10.0,10.0,10.0,1913.0,5.111,5.111,5.111,Simples,Rural,Plano
28,020BCE0520,34.7,65.3,30.6,981.0,1032.0,PAV,,0.0,3.0,0.0,3.0,5.0,5.0,5.0,1772.0,4.995666666666666,5.111,4.938,Simples,Rural,Ondulado
29,020BCE0530,65.3,83.1,17.8,981.0,1032.0,PAV,A,1.0,2.0,0.0,3.0,5.5,10.0,1.0,1772.0,7.917,8.035,7.799,Simples,Urbana,Ondulado
30,020BCE0540,83.1,155.8,72.7,533.0,683.0,PAV,,3.0,5.0,2.0,10.0,6.75,18.0,1.0,2250.0,5.777,8.035,4.938,Simples,Rural,Ondulado
31,020BCE0550,155.8,203.2,47.4,416.0,496.0,PAV,A,4.0,7.0,2.0,13.0,10.833333333333334,52.0,1.0,2237.5,5.959833333333333,8.035,4.938,Simples,Rural,Ondulado
32,020BCE0560,203.2,239.1,35.9,1611.0,1522.0,PAV,,1.0,5.0,1.0,7.0,9.75,23.0,1.0,3420.0,7.14275,8.035,4.938,Simples,Urbana,Ondulado
33,020BCE0570,239.1,253.6,14.5,1614.0,1767.0,PAV,,0.0,1.0,0.0,1.0,5.0,5.0,5.0,3420.0,8.035,8.035,8.035,Simples,Urbana,Ondulado
34,020BCE0580,253.6,279.9,26.3,978.0,1214.0,PAV,A,0.0,4.0,0.0,4.0,5.0,5.0,5.0,3568.0,7.2017500000000005,8.035,4.938,Simples,Urbana,Ondulado
35,020BCE0590,279.9,308.8,28.9,2332.0,2698.0,PAV,,0.0,9.0,2.0,11.0,7.888888888888889,13.0,5.0,3496.0,5.703111111111111,8.035,4.938,Simples,Rural,Ondulado
36,020BCE0600,308.8,326.2,17.4,2165.0,2766.0,PAV,,1.0,10.0,0.0,11.0,8.5,16.0,5.0,4719.0,6.096,8.035,4.938,Simples,Rural,Ondulado
37,020BCE0610,326.2,335.5,9.3,2249.0,2842.0,PAV,,3.0,4.0,0.0,7.0,4.6,7.0,1.0,5619.0,5.5920000000000005,8.035,4.938,Simples,Rural,Ondulado
38,020BCE0630,335.5,348.5,13.0,3057.0,3454.0,PAV,,2.0,2.0,0.0,4.0,3.0,5.0,1.0,5688.0,5.0245,5.111,4.938,Simples,Rural,Ondulado
